,Especificação,Classe,Tipo
auxserv_6_1_21_324,Atuária,36,s
auxserv_6_1_21_325,Aula de samba [dança],41,s
auxserv_6_1_21_326,Autenticação de dados [serviço de informática],42,s
auxserv_6_1_21_327,Autenticação de diamantes,42,s
auxserv_6_1_21_328,Autoescola,41,s
auxserv_6_1_21_329,"Automação industrial [desenvolvimento, instalação e manutenção de sistemas]",42,s
auxserv_6_1_21_330,Automação industrial [instalação e manutenção de máquinas],37,s
auxserv_6_1_21_331,Avaliação da capacidade auditiva [audiometria],44,s
auxserv_6_1_21_332,Avaliação da conformidade de produtos [ensaios/testes],42,s
auxserv_6_1_21_333,Avaliação da conformidade de serviços [ensaios/testes],42,s
auxserv_6_1_21_334,Avaliação de bens semoventes [valoração],36,s
auxserv_6_1_21_335,Aviamento de receita em farmácia de manipulação,44,s
auxserv_6_1_21_336,Banco comercial [serviços financeiros],36,s
auxserv_6_1_21_337,Banco de desenvolvimento [serviços financeiros],36,s
auxserv_6_1_21_338,Banco de investimento [serviços financeiros],36,s
auxserv_6_1_21_339,Banco de leite humano,44,s
auxserv_6_1_21_340,Banco de sêmen animal,44,s
